01/06/2025;23:02;00:00;02:00;08:00;ok;
02/06/2025;;;;;;
03/06/2025;;;;;;
04/06/2025;;;;;;
05/06/2025;;;;;;
06/06/2025;;;;;;
07/06/2025;;;;;;
08/06/2025;;;;;;
09/06/2025;;;;;;
10/06/2025;;;;;;
11/06/2025;;;;;;
12/06/2025;;;;;;
13/06/2025;;;;;;
14/06/2025;;;;;;
15/06/2025;;;;;;
16/06/2025;;;;;;
17/06/2025;;;;;;
18/06/2025;;;;;;
19/06/2025;;;;;;
20/06/2025;;;;;;
21/06/2025;;;;;;
22/06/2025;;;;;;
23/06/2025;;;;;;
24/06/2025;;;;;;
25/06/2025;;;;;;
26/06/2025;;;;;;
27/06/2025;;;;;;
28/06/2025;;;;;;
29/06/2025;;;;;;
30/06/2025;;;;;;
01/06/2025;08:00;17:00;00:00;08:00;ok;Presente
02/06/2025;;;;;;
03/06/2025;;;;;;
04/06/2025;;;;;;
05/06/2025;;;;;;
06/06/2025;;;;;;
07/06/2025;;;;;;
08/06/2025;;;;;;
09/06/2025;;;;;;
10/06/2025;;;;;;
11/06/2025;;;;;;
12/06/2025;;;;;;
13/06/2025;;;;;;
14/06/2025;;;;;;
15/06/2025;;;;;;
16/06/2025;;;;;;
17/06/2025;;;;;;
18/06/2025;;;;;;
19/06/2025;;;;;;
20/06/2025;;;;;;
21/06/2025;;;;;;
22/06/2025;;;;;;
23/06/2025;;;;;;
24/06/2025;;;;;;
25/06/2025;;;;;;
26/06/2025;;;;;;
27/06/2025;;;;;;
28/06/2025;;;;;;
29/06/2025;;;;;;
30/06/2025;;;;;;
01/06/2025;08:00;12:00;14:00;17:00;ok;Presente
02/06/2025;;;;;;
03/06/2025;;;;;;
04/06/2025;;;;;;
05/06/2025;;;;;;
06/06/2025;;;;;;
07/06/2025;;;;;;
08/06/2025;;;;;;
09/06/2025;;;;;;
10/06/2025;;;;;;
11/06/2025;;;;;;
12/06/2025;;;;;;
13/06/2025;;;;;;
14/06/2025;;;;;;
15/06/2025;;;;;;
16/06/2025;;;;;;
17/06/2025;;;;;;
18/06/2025;;;;;;
19/06/2025;;;;;;
20/06/2025;;;;;;
21/06/2025;;;;;;
22/06/2025;;;;;;
23/06/2025;;;;;;
24/06/2025;;;;;;
25/06/2025;;;;;;
26/06/2025;;;;;;
27/06/2025;;;;;;
28/06/2025;;;;;;
29/06/2025;;;;;;
30/06/2025;;;;;;
